"country","continent","year","life_exp","pop","gdp_per_cap","gdp","rich.poor"
"Argentina","Americas",1952,62.485,17876956,5911.315053,105676319104.619,"Poor"
"Argentina","Americas",1957,64.399,19610538,6856.856212,134466639305.962,"Poor"
"Argentina","Americas",1962,65.142,21283783,7133.166023,151820757736.505,"Poor"
"Argentina","Americas",1967,65.634,22934225,8052.953021,184688236498.044,"Poor"
"Argentina","Americas",1972,67.065,24779799,9443.038526,233996596623.536,"Poor"
"Argentina","Americas",1977,68.481,26983828,10079.02674,271970723959.561,"Rich"
"Argentina","Americas",1982,69.942,29341374,8997.897412,264010673179.124,"Poor"
"Argentina","Americas",1987,70.774,31620918,9139.671389,289004799538.515,"Poor"
"Argentina","Americas",1992,71.868,33958947,9308.41871,316104097626.698,"Poor"
"Argentina","Americas",1997,73.275,36203463,10967.28195,397053586287.393,"Rich"
"Argentina","Americas",2002,74.34,38331121,8797.640716,337223430799.523,"Poor"
"Argentina","Americas",2007,75.32,40301927,12779.37964,515033625356.566,"Rich"
"Bolivia","Americas",1952,40.414,2883315,2677.326347,7719575216.20031,"Poor"
"Bolivia","Americas",1957,41.89,3211738,2127.686326,6833571025.29459,"Poor"
"Bolivia","Americas",1962,43.428,3593918,2180.972546,7838236490.57523,"Poor"
"Bolivia","Americas",1967,45.032,4040665,2586.886053,10452739933.3452,"Poor"
"Bolivia","Americas",1972,46.714,4565872,2980.331339,13607811411.4626,"Poor"
"Bolivia","Americas",1977,50.023,5079716,3548.097832,18023329326.7757,"Poor"
"Bolivia","Americas",1982,53.859,5642224,3156.510452,17809739028.5252,"Poor"
"Bolivia","Americas",1987,57.251,6156369,2753.69149,16952740924.5998,"Poor"
"Bolivia","Americas",1992,59.957,6893451,2961.699694,20416331717.304,"Poor"
"Bolivia","Americas",1997,62.05,7693188,3326.143191,25588644883.2829,"Poor"
"Bolivia","Americas",2002,63.883,8445134,3413.26269,28825460794.2505,"Poor"
"Bolivia","Americas",2007,65.554,9119152,3822.137084,34854649033.8328,"Poor"
"Brazil","Americas",1952,50.917,56602560,2108.944355,119371649390.549,"Poor"
"Brazil","Americas",1957,53.285,65551171,2487.365989,163049753284.523,"Poor"
"Brazil","Americas",1962,55.665,76039390,3336.585802,253711949066.741,"Poor"
"Brazil","Americas",1967,57.632,88049823,3429.864357,301998949547.859,"Poor"
"Brazil","Americas",1972,59.504,100840058,4985.711467,502759433503.545,"Poor"
"Brazil","Americas",1977,61.489,114313951,6660.118654,761344477467.542,"Poor"
"Brazil","Americas",1982,63.336,128962939,7030.835878,906717258453.525,"Poor"
"Brazil","Americas",1987,65.205,142938076,7807.095818,1115931255372.57,"Poor"
"Brazil","Americas",1992,67.057,155975974,6950.283021,1084077163776.14,"Poor"
"Brazil","Americas",1997,69.388,168546719,7957.980824,1341291557750.12,"Poor"
"Brazil","Americas",2002,71.006,179914212,8131.212843,1462920751252.62,"Poor"
"Brazil","Americas",2007,72.39,190010647,9065.800825,1722598680331.38,"Poor"
"Canada","Americas",1952,68.75,14785584,11367.16112,168070115581.294,"Rich"
"Canada","Americas",1957,69.96,17010154,12489.95006,212455973972.909,"Rich"
"Canada","Americas",1962,71.3,18985849,13462.48555,255596717816.982,"Rich"
"Canada","Americas",1967,72.13,20819767,16076.58803,334710816939.589,"Rich"
"Canada","Americas",1972,72.88,22284500,18970.57086,422749686329.67,"Rich"
"Canada","Americas",1977,74.21,23796400,22090.88306,525683489648.984,"Rich"
"Canada","Americas",1982,75.76,25201900,22898.79214,577093069633.066,"Rich"
"Canada","Americas",1987,76.86,26549700,26626.51503,706925986091.991,"Rich"
"Canada","Americas",1992,77.95,28523502,26342.88426,751391311875.879,"Rich"
"Canada","Americas",1997,78.61,30305843,28954.92589,877503438098.975,"Rich"
"Canada","Americas",2002,79.77,31902268,33328.96507,1063269575825.78,"Rich"
"Canada","Americas",2007,80.653,33390141,36319.23501,1212704377996.04,"Rich"
"Chile","Americas",1952,54.745,6377619,3939.978789,25127683584.3234,"Poor"
"Chile","Americas",1957,56.074,7048426,4315.622723,30418347406.984,"Poor"
"Chile","Americas",1962,57.924,7961258,4519.094331,35977675895.4284,"Poor"
"Chile","Americas",1967,60.523,8858908,5106.654313,45239380746.6702,"Poor"
"Chile","Americas",1972,63.441,9717524,5494.024437,53388314323.134,"Poor"
"Chile","Americas",1977,67.052,10599793,4756.763836,50420712011.4859,"Poor"
"Chile","Americas",1982,70.565,11487112,5095.665738,58534483046.9687,"Poor"
"Chile","Americas",1987,72.492,12463354,5547.063754,69135019226.6709,"Poor"
"Chile","Americas",1992,74.126,13572994,7596.125964,103102172132.616,"Poor"
"Chile","Americas",1997,75.816,14599929,10118.05318,147722858046.224,"Rich"
"Chile","Americas",2002,77.86,15497046,10778.78385,167039309147.507,"Rich"
"Chile","Americas",2007,78.553,16284741,13171.63885,214496727217.788,"Rich"
"Colombia","Americas",1952,50.643,12350771,2144.115096,26481474548.339,"Poor"
"Colombia","Americas",1957,55.118,14485993,2323.805581,33662631379.7269,"Poor"
"Colombia","Americas",1962,57.863,17009885,2492.351109,42394605743.7125,"Poor"
"Colombia","Americas",1967,59.963,19764027,2678.729839,52942488863.7017,"Poor"
"Colombia","Americas",1972,61.623,22542890,3264.660041,73594872191.6585,"Poor"
"Colombia","Americas",1977,63.837,25094412,3815.80787,95755454802.6224,"Poor"
"Colombia","Americas",1982,66.653,27764644,4397.575659,122097122635.2,"Poor"
"Colombia","Americas",1987,67.768,30964245,4903.2191,151824477501.079,"Poor"
"Colombia","Americas",1992,68.421,34202721,5444.648617,186221797590.287,"Poor"
"Colombia","Americas",1997,70.313,37657830,6117.361746,230366568679.371,"Poor"
"Colombia","Americas",2002,71.682,41008227,5755.259962,236013006965.707,"Poor"
"Colombia","Americas",2007,72.889,44227550,7006.580419,309883885810.343,"Poor"
"Costa Rica","Americas",1952,57.206,926317,2627.009471,2433443532.14831,"Poor"
"Costa Rica","Americas",1957,60.026,1112300,2990.010802,3325789015.0646,"Poor"
"Costa Rica","Americas",1962,62.842,1345187,3460.937025,4655607493.84867,"Poor"
"Costa Rica","Americas",1967,65.424,1588717,4161.727834,6611807759.24898,"Poor"
"Costa Rica","Americas",1972,67.849,1834796,5118.146939,9390755531.08945,"Poor"
"Costa Rica","Americas",1977,70.75,2108457,5926.876967,12496565229.2099,"Poor"
"Costa Rica","Americas",1982,73.45,2424367,5262.734751,12758800460.0776,"Poor"
"Costa Rica","Americas",1987,74.752,2799811,5629.915318,15762698836.4049,"Poor"
"Costa Rica","Americas",1992,75.713,3173216,6160.416317,19548331623.7655,"Poor"
"Costa Rica","Americas",1997,77.26,3518107,6677.045314,23490559858.5006,"Poor"
"Costa Rica","Americas",2002,78.123,3834934,7723.447195,29618910245.3101,"Poor"
"Costa Rica","Americas",2007,78.782,4133884,9645.06142,39871565083.1553,"Poor"
"Cuba","Americas",1952,59.421,6007797,5586.53878,33562790922.8677,"Poor"
"Cuba","Americas",1957,62.325,6640752,6092.174359,40456619058.878,"Poor"
"Cuba","Americas",1962,65.246,7254373,5180.75591,37583135793.0944,"Poor"
"Cuba","Americas",1967,68.29,8139332,5690.268015,46314980543.066,"Poor"
"Cuba","Americas",1972,70.723,8831348,5305.445256,46854233350.6851,"Poor"
"Cuba","Americas",1977,72.649,9537988,6380.494966,60857084419.7684,"Poor"
"Cuba","Americas",1982,73.717,9789224,7316.918107,71626950339.079,"Poor"
"Cuba","Americas",1987,74.174,10239839,7532.924763,77135936772.2332,"Poor"
"Cuba","Americas",1992,74.414,10723260,5592.843963,59973519954.6794,"Poor"
"Cuba","Americas",1997,76.151,10983007,5431.990415,59659588751.8779,"Poor"
"Cuba","Americas",2002,77.158,11226999,6340.646683,71186433969.3943,"Poor"
"Cuba","Americas",2007,78.273,11416987,8948.102923,102160374746.553,"Poor"
"Dominican Republic","Americas",1952,45.928,2491346,1397.717137,3482196998.3964,"Poor"
"Dominican Republic","Americas",1957,49.828,2923186,1544.402995,4514577213.34207,"Poor"
"Dominican Republic","Americas",1962,53.459,3453434,1662.137359,5740081668.24081,"Poor"
"Dominican Republic","Americas",1967,56.751,4049146,1653.723003,6696165882.70544,"Poor"
"Dominican Republic","Americas",1972,59.631,4671329,2189.874499,10229624253.5392,"Poor"
"Dominican Republic","Americas",1977,61.788,5302800,2681.9889,14222050738.92,"Poor"
"Dominican Republic","Americas",1982,63.727,5968349,2861.092386,17075997880.8907,"Poor"
"Dominican Republic","Americas",1987,66.046,6655297,2899.842175,19299310927.751,"Poor"
"Dominican Republic","Americas",1992,68.457,7351181,3044.214214,22378569689.8867,"Poor"
"Dominican Republic","Americas",1997,69.957,7992357,3614.101285,28885187703.8787,"Poor"
"Dominican Republic","Americas",2002,70.847,8650322,4563.808154,39478410078.3256,"Poor"
"Dominican Republic","Americas",2007,72.235,9319622,6025.374752,56154215096.9837,"Poor"
"Ecuador","Americas",1952,48.357,3548753,3522.110717,12499100973.2859,"Poor"
"Ecuador","Americas",1957,51.356,4058385,3780.546651,15342913820.2186,"Poor"
"Ecuador","Americas",1962,54.64,4681707,4086.114078,19129988881.7711,"Poor"
"Ecuador","Americas",1967,56.678,5432424,4579.074215,24875472663.3472,"Poor"
"Ecuador","Americas",1972,58.796,6298651,5280.99471,33263142611.1362,"Poor"
"Ecuador","Americas",1977,61.31,7278866,6679.62326,48620082640.0232,"Poor"
"Ecuador","Americas",1982,64.342,8365850,7213.791267,60349495671.0319,"Poor"
"Ecuador","Americas",1987,67.231,9545158,6481.776993,61869585518.9499,"Poor"
"Ecuador","Americas",1992,69.613,10748394,7103.702595,76353394349.8824,"Poor"
"Ecuador","Americas",1997,72.312,11911819,7429.455877,88498333675.3103,"Poor"
"Ecuador","Americas",2002,74.173,12921234,5773.044512,74594859031.9678,"Poor"
"Ecuador","Americas",2007,74.994,13755680,6873.262326,94546397112.5117,"Poor"
"El Salvador","Americas",1952,45.262,2042865,3048.3029,6227271303.8085,"Poor"
"El Salvador","Americas",1957,48.57,2355805,3421.523218,8060441504.58049,"Poor"
"El Salvador","Americas",1962,52.307,2747687,3776.803627,10377474227.4607,"Poor"
"El Salvador","Americas",1967,55.855,3232927,4358.595393,14091020728.1053,"Poor"
"El Salvador","Americas",1972,58.207,3790903,4520.246008,17135814152.4652,"Poor"
"El Salvador","Americas",1977,56.696,4282586,5138.922374,22007877013.9792,"Poor"
"El Salvador","Americas",1982,56.604,4474873,4098.344175,18339569693.4148,"Poor"
"El Salvador","Americas",1987,63.154,4842194,4140.442097,20048823879.4408,"Poor"
"El Salvador","Americas",1992,66.798,5274649,4444.2317,23441762292.1733,"Poor"
"El Salvador","Americas",1997,69.535,5783439,5154.825496,29812618811.7607,"Poor"
"El Salvador","Americas",2002,70.734,6353681,5351.568666,34002160153.3595,"Poor"
"El Salvador","Americas",2007,71.878,6939688,5728.353514,39752986140.8636,"Poor"
"Guatemala","Americas",1952,42.023,3146381,2428.237769,7640161179.86399,"Poor"
"Guatemala","Americas",1957,44.142,3640876,2617.155967,9528740348.50709,"Poor"
"Guatemala","Americas",1962,46.954,4208858,2750.364446,11575893401.4627,"Poor"
"Guatemala","Americas",1967,50.016,4690773,3242.531147,15209977556.0066,"Poor"
"Guatemala","Americas",1972,53.738,5149581,4031.408271,20760063435.5844,"Poor"
"Guatemala","Americas",1977,56.029,5703430,4879.992748,27832697038.7256,"Poor"
"Guatemala","Americas",1982,58.137,6395630,4820.49479,30830101093.7677,"Poor"
"Guatemala","Americas",1987,60.782,7326406,4246.485974,31111480318.8294,"Poor"
"Guatemala","Americas",1992,63.373,8486949,4439.45084,37677392867.0872,"Poor"
"Guatemala","Americas",1997,66.322,9803875,4684.313807,45924427024.6021,"Poor"
"Guatemala","Americas",2002,68.978,11178650,4858.347495,54309766224.9818,"Poor"
"Guatemala","Americas",2007,70.259,12572928,5186.050003,65203833292.1188,"Poor"
"Haiti","Americas",1952,37.579,3201488,1840.366939,5891912670.80523,"Poor"
"Haiti","Americas",1957,40.696,3507701,1726.887882,6057406350.57928,"Poor"
"Haiti","Americas",1962,43.59,3880130,1796.589032,6970999000.73416,"Poor"
"Haiti","Americas",1967,46.243,4318137,1452.057666,6270183933.68824,"Poor"
"Haiti","Americas",1972,48.042,4698301,1654.456946,7773136723.84875,"Poor"
"Haiti","Americas",1977,49.923,4908554,1874.298931,9200097514.95577,"Poor"
"Haiti","Americas",1982,51.461,5198399,2011.159549,10454809788.3621,"Poor"
"Haiti","Americas",1987,53.636,5756203,1823.015995,10493650139.467,"Poor"
"Haiti","Americas",1992,55.089,6326682,1456.309517,9213607207.63259,"Poor"
"Haiti","Americas",1997,56.671,6913545,1341.726931,9276089515.1804,"Poor"
"Haiti","Americas",2002,58.137,7607651,1270.364932,9664493045.29473,"Poor"
"Haiti","Americas",2007,60.916,8502814,1201.637154,10217297215.9514,"Poor"
"Honduras","Americas",1952,41.912,1517453,2194.926204,3330697353.03841,"Poor"
"Honduras","Americas",1957,44.665,1770390,2220.487682,3931129187.33598,"Poor"
"Honduras","Americas",1962,48.041,2090162,2291.156835,4788888952.55727,"Poor"
"Honduras","Americas",1967,50.924,2500689,2538.269358,6347422262.58766,"Poor"
"Honduras","Americas",1972,53.884,2965146,2529.842345,7501351909.90737,"Poor"
"Honduras","Americas",1977,57.402,3055235,3203.208066,9786553395.52551,"Poor"
"Honduras","Americas",1982,60.909,3669448,3121.760794,11455138902.0217,"Poor"
"Honduras","Americas",1987,64.492,4372203,3023.096699,13217592456.6579,"Poor"
"Honduras","Americas",1992,66.399,5077347,3081.694603,15646832847.4582,"Poor"
"Honduras","Americas",1997,67.659,5867957,3160.454906,18545413488.847,"Poor"
"Honduras","Americas",2002,68.565,6677328,3099.72866,20697904973.8205,"Poor"
